name,manaCost,cmc,colors,colorIdentity,type,types,subtypes,rarity,set,setName,text,artist,number,power,toughness,layout,multiverseid,imageUrl,printings,originalText,originalType,id
Adorable Kitten,{W},1,White,W,Host Creature — Cat,Host,Cat,Common,UST,Unstable,"When this creature enters the battlefield, roll a six-sided die. You gain life equal to the result.",Andrea Radeck,1,1,1,normal,439390,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439390&type=card,UST,"When this creature enters the battlefield, roll a six-sided die. You gain life equal to the result.",Host Creature — Cat,95ebdf85f4ea74d584dfdfb72e3de5001d0748a9
Aerial Toastmaster,{3}{W},4,White,W,Artifact Creature — Cyborg Rigger,Artifact,Cyborg,Uncommon,UST,Unstable,"Flying
{3}{W}, Sacrifice another artifact: Aerial Toastmaster assembles a Contraption. (Put the top card of your Contraption deck face up onto one of your sprockets.)",Carl Critchlow,2,3,2,normal,439391,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439391&type=card,UST,"Flying
{3}{W}, Sacrifice another artifact: Aerial Toastmaster assembles a Contraption. (Put the top card of your Contraption deck face up onto one of your sprockets.)",Artifact Creature — Cyborg Rigger,9bf93829d5f697e3d6324c439a932804bdfdec3f
Amateur Auteur,{1}{W},2,White,W,Creature — Human,Creature,Human,Common,UST,Unstable,Sacrifice Amateur Auteur: Destroy target enchantment.,McLean Kendree,3,2,2,normal,439392,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439392&type=card,UST,Sacrifice Amateur Auteur: Destroy target enchantment.,Creature — Human,be5620e0c33888cebfcc16cc8f8638a9a5d0012f
Amateur Auteur,{1}{W},2,White,W,Creature — Human,Creature,Human,Common,UST,Unstable,Sacrifice Amateur Auteur: Destroy target enchantment.,McLean Kendree,3,2,2,normal,439613,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439613&type=card,UST,Sacrifice Amateur Auteur: Destroy target enchantment.,Creature — Human,b4b1553f73f2aa2cc8f9c89be34ea40d891f490f
Amateur Auteur,{1}{W},2,White,W,Creature — Human,Creature,Human,Common,UST,Unstable,Sacrifice Amateur Auteur: Destroy target enchantment.,McLean Kendree,3,2,2,normal,439614,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439614&type=card,UST,Sacrifice Amateur Auteur: Destroy target enchantment.,Creature — Human,26f6d44a6ce1f84f1df55818331608ac1fabd288
Amateur Auteur,{1}{W},2,White,W,Creature — Human,Creature,Human,Common,UST,Unstable,Sacrifice Amateur Auteur: Destroy target enchantment.,McLean Kendree,3,2,2,normal,439615,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439615&type=card,UST,Sacrifice Amateur Auteur: Destroy target enchantment.,Creature — Human,2a9816c2e1f13beb49f4aa4517fc0eec18efe9a1
By Gnome Means,{2}{W},3,White,W,Enchantment,Enchantment,,Rare,UST,Unstable,"{1}{W}, Remove a counter from a permanent you control: Create a 1/1 colorless Gnome artifact creature token.
{1}{W}, Sacrifice an artifact: Choose any kind of counter a printed card refers to, then put one of that counter on target permanent.",Sean Murray,4,,,normal,439393,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439393&type=card,UST,"{1}{W}, Remove a counter from a permanent you control: Create a 1/1 colorless Gnome artifact creature token.
{1}{W}, Sacrifice an artifact: Choose any kind of counter a printed card refers to, then put one of that counter on target permanent.",Enchantment,052e80970e33f1093abccea03753cfcc2e328764
Chivalrous Chevalier,{4}{W},5,White,W,Artifact Creature — Cyborg Knight,Artifact,Cyborg,Common,UST,Unstable,"Flying
When Chivalrous Chevalier enters the battlefield, return a creature you control to its owner's hand unless you compliment an opponent.",Dmitry Burmak,5,3,3,normal,439394,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439394&type=card,UST,"Flying
When Chivalrous Chevalier enters the battlefield, return a creature you control to its owner's hand unless you compliment an opponent.",Artifact Creature — Cyborg Knight,c2ec96c070907abfd16eed0dd2886589e9f4f4b3
Do-It-Yourself Seraph,{4}{W}{W},6,White,W,Artifact Creature — Cyborg Angel,Artifact,Cyborg,Mythic Rare,UST,Unstable,"Flying
Whenever Do-It-Yourself Seraph attacks, you may search your library for an artifact card, exile it, then shuffle your library.
Do-It-Yourself Seraph has the text box of each card exiled with Do-It-Yourself Seraph in addition to its own.",David Sladek,6,4,4,normal,439395,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439395&type=card,UST,"Flying
Whenever Do-It-Yourself Seraph attacks, you may search your library for an artifact card, exile it, then shuffle your library.
Do-It-Yourself Seraph has the text box of each card exiled with Do-It-Yourself Seraph in addition to its own.",Artifact Creature — Cyborg Angel,670816ec292583c1e93f4facae8f8fb64eb32577
Gimme Five,{W},1,White,W,Instant,Instant,,Uncommon,UST,Unstable,You gain 1 life for each person who high-fives you in the next thirty seconds. Each player in a silver-bordered game who high-fives you gains 1 life. (Offer high fives. Don't hit people.),Jesper Ejsing,7,,,normal,439396,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439396&type=card,UST,You gain 1 life for each person who high-fives you in the next thirty seconds. Each player in a silver-bordered game who high-fives you gains 1 life. (Offer high fives. Don't hit people.),Instant,2fb7a44528894b69d7fd1a14fe2bb8df5748162c
GO TO JAIL,{W},1,White,W,Enchantment,Enchantment,,Common,UST,Unstable,"When GO TO JAIL enters the battlefield, exile target creature an opponent controls until GO TO JAIL leaves the battlefield.
At the beginning of the upkeep of the exiled card's owner, that player rolls two six-sided dice. If he or she rolls doubles, sacrifice GO TO JAIL.",Marco Teixeira,8,,,normal,439397,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439397&type=card,UST,"When GO TO JAIL enters the battlefield, exile target creature an opponent controls until GO TO JAIL leaves the battlefield.
At the beginning of the upkeep of the exiled card's owner, that player rolls two six-sided dice. If he or she rolls doubles, sacrifice GO TO JAIL.",Enchantment,e02465a426b288c5a29e58c7b4811761888ca96f
"Half-Kitten, Half-",,0,White,W,Creature — Cat,Creature,Cat,Uncommon,UST,Unstable,"Whenever you're dealt damage,
Augment {2}{W} ({2}{W}, Reveal this card from your hand: Combine it with target host. Augment only as a sorcery.)",Andrea Radeck,9,+1,+2,normal,439398,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439398&type=card,UST,"Whenever you're dealt damage,
Augment {2}{W} ({2}{W}, Reveal this card from your hand: Combine it with target host. Augment only as a sorcery.)",Creature — Cat,9576b7f72e0e87262f4bf6e76b1037adc6ce6acb
Humming-,,0,White,W,Creature — Bird,Creature,Bird,Common,UST,Unstable,"Flying
Whenever you attack with two or more creatures,
Augment {3}{W} ({3}{W}, Reveal this card from your hand: Combine it with target host. Augment only as a sorcery.)",Mark Behm,10,+2,+3,normal,439399,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439399&type=card,UST,"Flying
Whenever you attack with two or more creatures,
Augment {3}{W} ({3}{W}, Reveal this card from your hand: Combine it with target host. Augment only as a sorcery.)",Creature — Bird,98a36f71482154dfcead4f407c1e4fe034faf18f
